Movie,Director,Genre,Gross (millions USD),Rating
X-Men Origins: Wolverine,Gavin Hood,"Action, Sci-Fi",179.88,6.6
Pacific Rim,Guillermo del Toro,"Action, Adventure, Sci-Fi",101.8,6.9
Children of Men,Alfonso Cuarón,"Adventure, Drama, Sci-Fi",35.55,7.9
Hot Fuzz,Edgar Wright,"Action, Comedy, Mystery",23.64,7.8
The Perks of Being a Wallflower,Stephen Chbosky,"Drama, Romance",17.74,8
The Hangover Part II,Todd Phillips,Comedy,254.46,6.5
It,Andy Muschietti,Horror,327.48,7.3
Star Trek Into Darkness,J.J. Abrams,"Action, Adventure, Sci-Fi",228.78,7.7
Bohemian Rhapsody,Queen,"Biography, Drama, Music",216.43,8
Captain Marvel,Anna Boden,"Action, Adventure, Sci-Fi",426.83,6.9
Argo,Ben Affleck,"Biography, Drama, Thriller",136.03,7.7
Drive,Nicolas Winding Refn,"Crime, Drama",35.06,7.8
Frozen,Chris Buck,"Animation, Adventure, Comedy",400.74,7.4
X-Men,Bryan Singer,"Action, Adventure, Sci-Fi",157.3,7.4
Ted,Seth MacFarlane,Comedy,218.82,6.9
Star Wars: Episode VIII - The Last Jedi,Rian Johnson,"Action, Adventure, Fantasy",620.18,7
Prometheus,Ridley Scott,"Adventure, Mystery, Sci-Fi",126.48,7
Once Upon a Time... In Hollywood,Quentin Tarantino,"Comedy, Drama",142.5,7.6
Taken,Pierre Morel,"Action, Crime, Thriller",145,7.8
Dunkirk,Christopher Nolan,"Action, Drama, History",188.37,7.8
The Amazing Spider-Man,Marc Webb,"Action, Adventure, Fantasy",262.03,6.9
Rogue One: A Star Wars Story,Gareth Edwards,"Action, Adventure, Sci-Fi",532.18,7.8
Harry Potter and the Chamber of Secrets,Chris Columbus,"Adventure, Family, Fantasy",261.99,7.4
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"Adventure, Family, Fantasy",249.36,7.9
Harry Potter and the Goblet of Fire,Mike Newell,"Adventure, Family, Fantasy",290.01,7.7
Spider-Man 2,Sam Raimi,"Action, Adventure, Sci-Fi",373.59,7.3
Saw,James Wan,"Horror, Mystery, Thriller",56,7.6
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Pamela Anderson,Comedy,128.51,7.3
Tropic Thunder,Ben Stiller,"Action, Comedy, War",110.52,7
Unforgiven,Clint Eastwood,"Drama, Western",101.16,8.2
The Cabin in the Woods,Drew Goddard,"Horror, Mystery, Thriller",42.07,7
28 Days Later...,Danny Boyle,"Drama, Horror, Sci-Fi",45.06,7.6
Terminator 3: Rise of the Machines,Jonathan Mostow,"Action, Sci-Fi",150.37,6.3
American Pie,Paul Weitz,Comedy,102.56,7
Room,Lenny Abrahamson,"Drama, Thriller",14.68,8.1
The Shape of Water,Guillermo del Toro,"Adventure, Drama, Fantasy",63.86,7.3
Sicario,Denis Villeneuve,"Action, Crime, Drama",46.89,7.6
Brave,Mark Andrews,"Animation, Adventure, Comedy",237.28,7.1
Aladdin,Ron Clements,"Animation, Adventure, Comedy",217.35,8
Ready Player One,Steven Spielberg,"Action, Adventure, Sci-Fi",137.69,7.4
Mission: Impossible - Ghost Protocol,Brad Bird,"Action, Adventure, Thriller",209.4,7.4
The Pursuit of Happyness,Gabriele Muccino,"Biography, Drama",163.57,8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Comedy,0.28,8.4
The Butterfly Effect,Eric Bress,"Drama, Sci-Fi, Thriller",57.94,7.6
Mr. & Mrs. Smith,Doug Liman,"Action, Comedy, Crime",186.34,6.5
Indiana Jones and the Temple of Doom,Steven Spielberg,"Action, Adventure",179.87,7.6
American Hustle,David O. Russell,"Crime, Drama",150.12,7.2
The Matrix Revolutions,Lana Wachowski,"Action, Sci-Fi",139.31,6.8
Lucy,Luc Besson,"Action, Sci-Fi, Thriller",126.66,6.4
Edward Scissorhands,Tim Burton,"Drama, Fantasy, Romance",56.36,7.9
1917,Sam Mendes,"Drama, Thriller, War",159.23,8.3
Rear Window,Alfred Hitchcock,"Mystery, Thriller",36.76,8.4
Baby Driver,Edgar Wright,"Action, Crime, Drama",107.83,7.6
Hancock,Peter Berg,"Action, Drama, Fantasy",227.95,6.4
Dallas Buyers Club,Jean-Marc Vallée,"Biography, Drama",27.3,8
The Conjuring,James Wan,"Horror, Mystery, Thriller",137.4,7.5
Her,Spike Jonze,"Drama, Romance, Sci-Fi",25.57,8
John Wick,Chad Stahelski,"Action, Crime, Thriller",43.04,7.4
Jaws,Steven Spielberg,"Adventure, Thriller",260,8
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,"Action, Comedy, Crime",3.9,8.2
Looper,Rian Johnson,"Action, Drama, Sci-Fi",66.49,7.4
The Devil Wears Prada,David Frankel,"Comedy, Drama",124.74,6.9
E.T. the Extra-Terrestrial,Steven Spielberg,"Family, Sci-Fi",435.11,7.8
Moneyball,Bennett Miller,"Biography, Drama, Sport",75.61,7.6
The Thing,John Carpenter,"Horror, Mystery, Sci-Fi",13.78,8.1
Cloverfield,Matt Reeves,"Action, Horror, Sci-Fi",80.05,7
Predator,John McTiernan,"Action, Adventure, Sci-Fi",59.74,7.8
Bruce Almighty,Tom Shadyac,"Comedy, Fantasy",242.83,6.8
Cars,John Lasseter,"Animation, Comedy, Family",244.08,7.1
In Time,Andrew Niccol,"Action, Sci-Fi, Thriller",37.52,6.7
John Wick: Chapter 2,Chad Stahelski,"Action, Crime, Thriller",92.03,7.5
The Wizard of Oz,Victor Fleming,"Adventure, Family, Fantasy",2.08,8
Amadeus,Wolfgang Amadeus Mozart,"Biography, Drama, History",51.97,8.3
Ice Age,Chris Wedge,"Animation, Adventure, Comedy",176.39,7.5
Hacksaw Ridge,Desmond T. Doss,"Biography, Drama, History",67.21,8.1
American Sniper,Clint Eastwood,"Action, Biography, Drama",350.13,7.3
Little Miss Sunshine,Jonathan Dayton,"Comedy, Drama",59.89,7.8
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Comedy, Crime, Drama",54.51,8.1
